iteration;BEGIN iteration;BEGIN iterationStartsListeners;END iterationStartsListeners;BEGIN replanning;END replanning;BEGIN beforeMobsimListeners;BEGIN dump all plans;END dump all plans;END beforeMobsimListeners;BEGIN prepareForMobsim;END prepareForMobsim;BEGIN mobsim;END mobsim;BEGIN afterMobsimListeners;END afterMobsimListeners;BEGIN scoring;END scoring;BEGIN iterationEndsListeners;END iterationEndsListeners;END iteration;;iterationStartsListeners;replanning;dump all plans;beforeMobsimListeners;prepareForMobsim;mobsim;afterMobsimListeners;scoring;iterationEndsListeners;iteration
0;20:22:32;20:22:32;20:22:32;;;20:22:32;20:22:32;20:22:32;20:22:32;20:22:32;20:22:32;20:22:32;20:22:33;20:22:33;20:22:33;20:22:33;20:22:33;20:22:33;20:22:34;20:22:34;;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:01
1;20:22:34;20:22:34;20:22:34;20:22:34;20:22:34;20:22:34;20:22:34;20:22:34;20:22:34;20:22:34;20:22:34;20:22:34;20:22:34;20:22:34;20:22:34;20:22:34;20:22:34;20:22:34;20:22:34;20:22:34;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
2;20:22:34;20:22:34;20:22:34;20:22:34;20:22:34;20:22:34;;;20:22:34;20:22:34;20:22:34;20:22:34;20:22:35;20:22:35;20:22:35;20:22:35;20:22:35;20:22:35;20:22:35;20:22:35;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
3;20:22:35;20:22:35;20:22:35;20:22:35;20:22:35;20:22:35;;;20:22:35;20:22:35;20:22:35;20:22:35;20:22:35;20:22:35;20:22:35;20:22:35;20:22:35;20:22:35;20:22:35;20:22:35;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
4;20:22:35;20:22:35;20:22:35;20:22:35;20:22:35;20:22:35;;;20:22:35;20:22:35;20:22:35;20:22:35;20:22:36;20:22:36;20:22:36;20:22:36;20:22:36;20:22:36;20:22:36;20:22:36;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
5;20:22:36;20:22:36;20:22:36;20:22:36;20:22:36;20:22:36;;;20:22:36;20:22:36;20:22:36;20:22:36;20:22:36;20:22:36;20:22:36;20:22:36;20:22:36;20:22:36;20:22:36;20:22:36;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
6;20:22:36;20:22:36;20:22:36;20:22:36;20:22:36;20:22:36;;;20:22:36;20:22:36;20:22:36;20:22:36;20:22:37;20:22:37;20:22:37;20:22:37;20:22:37;20:22:37;20:22:37;20:22:37;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
7;20:22:37;20:22:37;20:22:37;20:22:37;20:22:37;20:22:37;;;20:22:37;20:22:37;20:22:37;20:22:37;20:22:37;20:22:37;20:22:37;20:22:37;20:22:37;20:22:37;20:22:38;20:22:38;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
8;20:22:38;20:22:38;20:22:38;20:22:38;20:22:38;20:22:38;;;20:22:38;20:22:38;20:22:38;20:22:38;20:22:38;20:22:38;20:22:38;20:22:38;20:22:38;20:22:38;20:22:38;20:22:38;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
9;20:22:38;20:22:38;20:22:38;20:22:38;20:22:38;20:22:38;;;20:22:38;20:22:38;20:22:38;20:22:38;20:22:38;20:22:38;20:22:38;20:22:38;20:22:38;20:22:38;20:22:39;20:22:39;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
10;20:22:39;20:22:39;20:22:39;20:22:39;20:22:39;20:22:39;;;20:22:39;20:22:39;20:22:39;20:22:39;20:22:39;20:22:39;20:22:39;20:22:39;20:22:39;20:22:39;20:22:39;20:22:39;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
